citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj,endogeneity_ratio_any,endogeneity_ratio_maj,meets_threshold,z_score_any,p_value_any
GH,5,1,4,0,0.8,0,3,0.8675632284814612,0.5,0.0010302905419328251,0.7989697094580672,-0.0010302905419328251,776.48,0,FALSE,NA,NA
HR,5,3,3,0,0.6,0,8,2.0253262207700677,0.14,6.18174325159695e-4,0.5993818256748403,-6.18174325159695e-4,970.5999999999999,0,FALSE,NA,NA
IR,4,2,2,0,0.5,0,7,1.9061547465398494,0.15625,0.00123634865031939,0.4987636513496806,-0.00123634865031939,404.4166666666667,0,FALSE,NA,NA
KR,4,2,1,1,0.25,0.25,6,1.791759469228055,0.16666666666666666,0.0030908716257984753,0.24690912837420154,0.24690912837420154,80.88333333333333,80.88333333333333,FALSE,NA,NA
AE,3,1,0,0,0,0,2,0.6365141682948128,0.5555555555555556,4.1211621677313e-4,-4.1211621677313e-4,-4.1211621677313e-4,0,0,FALSE,NA,NA
CY,3,1,2,0,0.6666666666666666,0,3,1.0986122886681096,0.3333333333333333,4.1211621677313e-4,0.6662545504498935,-4.1211621677313e-4,1617.6666666666665,0,FALSE,NA,NA
GR,3,3,1,0,0.3333333333333333,0,2,0.6365141682948128,0.5555555555555556,0.007005975685143211,0.3263273576481901,-0.007005975685143211,47.57843137254901,0,FALSE,NA,NA
BD,2,1,1,1,0.5,0.5,4,1.3862943611198906,0.25,8.2423243354626e-4,0.49917576756645377,0.49917576756645377,606.625,606.625,FALSE,NA,NA
ID,2,1,0,0,0,0,2,0.6931471805599453,0.5,4.1211621677313e-4,-4.1211621677313e-4,-4.1211621677313e-4,0,0,FALSE,NA,NA
LB,2,2,0,0,0,0,3,1.0986122886681096,0.3333333333333333,2.06058108386565e-4,-2.06058108386565e-4,-2.06058108386565e-4,0,0,FALSE,NA,NA
MN,2,1,0,0,0,0,3,1.0986122886681096,0.3333333333333333,4.1211621677313e-4,-4.1211621677313e-4,-4.1211621677313e-4,0,0,FALSE,NA,NA
SI,2,2,1,0,0.5,0,3,1.0986122886681096,0.3333333333333333,0.0030908716257984753,0.49690912837420154,-0.0030908716257984753,161.76666666666665,0,FALSE,NA,NA
TH,2,1,2,1,1,0.5,3,1.0397207708399179,0.375,6.18174325159695e-4,0.9993818256748404,0.4993818256748403,1617.6666666666667,808.8333333333334,FALSE,NA,NA
TN,2,1,0,0,0,0,3,1.0986122886681096,0.3333333333333333,NA,NA,NA,NA,NA,FALSE,NA,NA
ZA,2,2,0,0,0,0,1,-0,1,0.001854522975479085,-0.001854522975479085,-0.001854522975479085,0,0,FALSE,NA,NA
CO,1,1,0,0,0,0,2,0.6931471805599453,0.5,2.06058108386565e-4,-2.06058108386565e-4,-2.06058108386565e-4,0,0,FALSE,NA,NA
UY,1,1,0,0,0,0,2,0.6931471805599453,0.5,NA,NA,NA,NA,NA,FALSE,NA,NA
