id,publication_year,countries_str
W2908727252,2019,ES
W1483123661,1996,NA
W4298237642,1968,NA
W6893077035,2024,NA
W2521275401,2016,NL
W2162069606,1998,NA
W2156924265,2011,DE
W2795458930,1922,NA
W7092367551,2025,NA
W7011814394,NA,NA
W1572470202,1997,NA
W1965511145,1993,NA
W4212842610,2016,GB
W4251772280,2010,NA
W4234709155,2006,NA
W2161383377,2004,NA
W7027480475,1943,NA
W2892332415,2018,AT
W4238874222,2017,NA
W4403671028,2024,CH
W2884980639,1996,NA
W2265991260,2004,NA
W185661871,2004,NA
W4235410611,1992,NA
W2482568154,2015,NA
W2581740767,2012,NA
W2117667023,2013,US
W2166048187,2012,CA
W3042207524,2020,NA
W4249019332,1946,NA
W2759867731,2017,NA
W3004771655,1992,NA
W1529437286,1991,NA
W1557917736,2017,NA
W7029065579,1993,NA
W4412430091,2025,NA
W1818857488,2005,US
W2123835189,2012,US
W7082480340,1967,NA
W2970861400,2018,DE
W1849361375,2007,NA
W2498188909,1996,NA
W7100178945,2015,NA
W2015142061,2007,GB
W2029135525,1987,US
W2946730470,2019,NA
W1970789040,2003,NA
W3000069905,1993,NA
W4293417080,1981,NA
W1714309311,2011,GB
W4237392656,2001,NA
W2563913735,1963,NA
W2140061837,2005,CA
W2167417018,2010,RU
W2323057193,1968,NA
W2334162802,1987,NA
W1602438245,1994,US
W4298872633,2000,NA
W6899161478,2010,NA
W2291963777,2015,IE;US
W2199511894,2015,NA
W2267799562,2007,NA
W4236722038,1997,NA
W1996508650,1982,GB
W2949164288,1996,US
W4236323253,1986,NA
W1645623507,2008,US
W2606092537,2017,DE
W1970413016,2010,US
W2098746383,1992,US
W1999710473,2014,CN
W2116376820,1976,NG
W2063135758,2017,NA
W7069316298,2011,NA
W2099984129,2013,US
W2268547407,1976,NA
W657594270,2007,NA
W1975598178,2000,US
W2323685518,1974,NA
W2124917259,2011,DE
W2027046728,2002,NA
W2026624244,1981,NA
W2481951340,2000,AU
W2051931973,2004,NA
W625680608,2011,NA
W2156170481,1997,US
W2084584893,1991,FR
W6955668405,2007,NA
W2799088584,2001,NA
W3148940546,2005,FR
W2140686056,1997,US
W4406798973,2024,NA
W1586142977,2002,NA
W1994802788,1992,NA
W1978712684,1995,DE
W1533950946,1995,NA
W2294385208,2015,NA
W1996136679,1986,NA
W2013845876,1979,NA
W4233904590,2014,NA
W2972341520,2019,AU;CN
W2011834644,2004,FR
W2000125441,2014,US
W2081479411,2011,US
W2154761488,2010,DE
W7843115,2002,NA
W1541082487,2003,ZA
W1573258392,1993,US
W1987609524,1983,NA
W3213971470,2021,FR
W99136341,2008,NA
W79149832,1977,NA
W1510740098,1996,NA
W6944305785,2021,NA
W2521029469,2004,NA
W2528283406,2004,NA
W3159496320,2021,DE
W4299789576,2000,US
W2149478650,2013,PL
W1517278739,2013,CA
W2081387730,1985,US
W4250703237,2007,IN
W2052401917,1984,GB;GH
W2768817266,2011,US
W2989867561,2000,NA
W7039141605,2011,NA
W1535389567,2000,NA
W2124401097,2015,US
W1966626540,2003,US
W7066003607,NA,NA
W2554751804,1975,NA
W1579151799,1993,US
W2619431208,2014,NA
W2061550507,2004,US
W2015528774,2001,NA
W2005065284,1998,GB
W203122926,1992,NA
W6912041751,2018,AU
W1610125115,2011,SE
W4205729404,1999,GB
W2292872062,2015,ZA
W2112865076,1997,US
W126040988,2013,IT
W3007901495,2020,DE
W7098142299,2014,NA
W2017364694,1994,FR
W2250405801,2015,US
W4247726326,2008,NA
W2493097334,2016,IT
W7098906259,2013,NA
W2061764622,1990,NA
W1606948226,2014,NA
W1512938120,2016,NA
W2566747599,2018,NA
W2069813268,2013,GB;MT
W2182077928,2011,NA
W2076771101,2014,MX
W2159934666,2005,GB;KR
W599680910,2004,NA
W130632585,2010,NA
W604815445,1987,NA
W1992669653,2010,NA
W4230811108,2018,NA
W4312278162,2022,DE
W2131976234,2011,US
W1825051614,2006,DE
W2115393269,2010,NA
W2048692860,2009,NA
W2091240496,2014,DE;FR;US
W2660066595,2011,NA
W2003513472,1999,NA
W1610478983,2012,AT
W4230543443,2017,FR
W2177117098,2015,US
W2517798554,1985,NA
W2560772377,2016,CA
W2611405939,2017,NA
W3158423242,2019,NA
W1549970612,2008,NA
W3140968660,2004,NA
W7006729587,2005,NA
W2032503839,1997,US
W83334756,2002,NA
W2015646678,2009,US
W1767706601,2011,KR
W7039580661,2007,NA
W6913133643,2017,NA
W2124662135,1994,NA
W2126629849,2015,US
W4213384923,2022,NA
W4385977249,1973,NA
W2003525603,1952,NA
W643605419,2006,NA
W1503147212,1999,NA
W4238242027,2009,NA
W2617773373,2010,NA
W2106872866,1996,NA
W1593297940,2009,NA
W227968378,1994,US
W7054931112,1990,NA
W2135672638,2004,NA
W2084290727,2009,NA
W6943944928,2020,NA
W4389290495,1993,NL
W2089197253,2013,NA
W2078333774,2013,ES
W2111799631,1999,US
W2318571685,1993,NA
W3209606106,2013,NA
W7098129169,2009,NA
W4254241093,2014,AU
W7031212959,1983,NA
W2031850547,2013,GB;US
W2726585279,2017,AU
W4232171896,1992,NA
W4233644383,1962,NA
W2012242687,2012,NA
W4244410541,2010,US
W7017992420,1998,NA
W3159931589,2012,GB;IT;NO
W1580575436,2001,NA
W3160484018,2020,GB
W2153222072,1984,NA
W2089971690,1984,US
W769228992,2015,DE;GB
W2169353943,2013,NA
W2737310538,1993,NA
W2412584894,2016,NA
W2035504166,2007,NA
W341075630,1998,NA
W1950460020,2001,JP
W1522206658,2000,NA
W2009402168,2009,CA
W839535680,2010,NA
W1774994870,2013,NA
W2181612721,2009,NA
W1510355787,1988,US
W1979135380,1998,GB
W196159769,2001,SE
W2087889651,2008,US
W2536442256,2008,NA
W2612101319,2010,US
W2047976426,2013,NA
W1987597775,2014,NA
W2506641459,2012,NA
W2042852569,2014,NA
W6887580317,2015,NA
W4296726337,2011,DE
W1964678744,2009,CH;US
W2076962836,2004,IT
W2083134980,2014,NA
W1552548898,1997,NA
W627457590,2011,NA
W574783391,2007,NA
W2006468087,1984,US
W1644233380,2015,GB
W1554831093,2007,NA
W4238320497,1958,NA
