citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj
BI,18,2,4,0,0.2222222222222222,0,8,1.8343719702816237,0.19,2.1596062696779914e-4,0.2220062615952544,-2.1596062696779914e-4
CU,15,2,1,0,0.06666666666666667,0,10,1.9550839066643968,0.19113573407202214,1.1366348787778902e-4,0.06655300317878887,-1.1366348787778902e-4
NP,14,1,0,0,0,0,9,1.9812075507356177,0.16666666666666669,9.093079030223121e-5,-9.093079030223121e-5,-9.093079030223121e-5
BO,12,3,5,2,0.4166666666666667,0.16666666666666666,10,2.08442976821535,0.15570934256055366,1.1366348787778902e-4,0.4165530031787889,0.16655300317878888
MK,12,1,2,0,0.16666666666666666,0,8,1.9701814400260842,0.1530612244897959,2.7279237090669365e-4,0.16639387429575997,-2.7279237090669365e-4
MU,12,1,4,0,0.3333333333333333,0,7,1.711845135233912,0.21893491124260359,9.093079030223121e-5,0.33324240254303106,-9.093079030223121e-5
BZ,11,1,9,0,0.8181818181818182,0,8,1.9561874676604514,0.15570934256055366,NA,NA,NA
SO,11,1,9,0,0.8181818181818182,0,8,1.9561874676604514,0.15570934256055366,3.4099046363336706e-5,0.8181477191354549,-3.4099046363336706e-5
SS,10,4,4,1,0.4,0.1,7,1.748155457247676,0.20833333333333331,3.6372316120892483e-4,0.3996362768387911,0.09963627683879107
UZ,9,1,5,2,0.5555555555555556,0.2222222222222222,6,1.5857708352080966,0.242603550295858,1.1366348787778902e-4,0.5554418920676778,0.22210855873434443
GH,5,1,2,0,0.4,0,6,1.732867951399863,0.1875,6.024164857522818e-4,0.39939758351424776,-6.024164857522818e-4
OM,5,1,0,0,0,0,5,1.4750763110546947,0.26530612244897955,2.3869332454335695e-4,-2.3869332454335695e-4,-2.3869332454335695e-4
ZW,5,1,0,0,0,0,5,1.5607104090414063,0.2222222222222222,1.0229713909001011e-4,-1.0229713909001011e-4,-1.0229713909001011e-4
BH,4,1,0,0,0,0,4,1.3321790402101223,0.28,2.1596062696779914e-4,-2.1596062696779914e-4,-2.1596062696779914e-4
MD,3,1,0,0,0,0,3,1.0549201679861442,0.3600000000000001,7.956444151445232e-5,-7.956444151445232e-5,-7.956444151445232e-5
GE,1,1,0,0,0,0,1,-0,1,9.093079030223121e-5,-9.093079030223121e-5,-9.093079030223121e-5
NA,1,1,1,0,1,0,3,1.0986122886681096,0.3333333333333333,5.683174393889451e-5,0.9999431682560611,-5.683174393889451e-5
