citing_country,citing_year,n_citations,scr_any,scr_majority
CH,2015,93,0.13978494623655913,0.11827956989247312
CH,2016,197,0.24873096446700507,0.116751269035533
CH,2017,267,0.19101123595505617,0.10486891385767791
CH,2018,165,0.1393939393939394,0.10909090909090909
CH,2019,456,0.375,0.03289473684210526
CH,2020,295,0.17288135593220338,0.09830508474576272
CH,2021,172,0.2441860465116279,0.10465116279069768
CH,2022,228,0.2631578947368421,0.08333333333333333
CH,2023,348,0.09482758620689655,0.04885057471264368
CH,2024,317,0.305993690851735,0.10410094637223975
CH,2025,305,0.4065573770491803,0.04262295081967213
CL,2016,43,0.023255813953488372,0.023255813953488372
CL,2018,7,0.7142857142857143,0
CL,2020,2,0.5,0.5
CL,2021,56,0.42857142857142855,0.19642857142857142
CL,2023,23,0.30434782608695654,0.30434782608695654
CL,2024,49,0.12244897959183673,0.04081632653061224
CL,2025,20,0.15,0.15
CN,2007,32,0.21875,0
CN,2008,15,0.3333333333333333,0.3333333333333333
CN,2010,6,0.3333333333333333,0
CN,2011,18,0.4444444444444444,0.3888888888888889
CN,2012,35,0.2571428571428571,0.05714285714285714
CN,2013,5,0.2,0.2
CN,2014,35,0.08571428571428572,0.08571428571428572
CN,2015,54,0.16666666666666666,0.1111111111111111
CN,2016,33,0.18181818181818182,0.12121212121212122
CN,2017,154,0.2662337662337662,0.14935064935064934
CN,2018,111,0.17117117117117117,0.07207207207207207
CN,2019,415,0.23132530120481928,0.10843373493975904
CN,2020,385,0.32727272727272727,0.15324675324675324
CN,2021,777,0.3384813384813385,0.11454311454311454
CN,2022,907,0.2954796030871003,0.21499448732083792
CN,2023,922,0.29392624728850325,0.210412147505423
CN,2024,1879,0.3001596593932943,0.1766897285790314
CN,2025,2299,0.3423227490213136,0.2035667681600696
CO,2016,15,0,0
CO,2020,62,0.6290322580645161,0.0967741935483871
CO,2021,43,0.23255813953488372,0.023255813953488372
CO,2023,12,0,0
CO,2025,22,0,0
CY,2014,33,0.030303030303030304,0.030303030303030304
CY,2015,54,0.14814814814814814,0.14814814814814814
CY,2019,72,0.18055555555555555,0.041666666666666664
CY,2020,29,0.20689655172413793,0
CY,2021,38,0.2631578947368421,0.02631578947368421
CY,2022,63,0.3968253968253968,0
CY,2023,47,0.1702127659574468,0.02127659574468085
CY,2024,94,0.22340425531914893,0.05319148936170213
CY,2025,83,0.0963855421686747,0.04819277108433735
CZ,2014,4,1,0
CZ,2015,45,0.15555555555555556,0.044444444444444446
CZ,2017,2,0,0
CZ,2018,17,1,0
CZ,2019,28,0.17857142857142858,0
CZ,2020,45,0.4222222222222222,0.022222222222222223
CZ,2021,92,0.1956521739130435,0.05434782608695652
CZ,2022,12,0.3333333333333333,0.3333333333333333
CZ,2023,22,0.22727272727272727,0.22727272727272727
CZ,2024,47,0.0851063829787234,0.06382978723404255
CZ,2025,105,0.19047619047619047,0.01904761904761905
DE,2001,9,0.7777777777777778,0
DE,2003,5,0.6,0
DE,2005,43,0.2558139534883721,0.13953488372093023
DE,2006,24,0.125,0.125
DE,2007,70,0.7285714285714285,0.12857142857142856
DE,2008,120,0.35833333333333334,0.03333333333333333
DE,2009,35,0.4857142857142857,0.4857142857142857
DE,2010,13,0.6153846153846154,0
DE,2011,21,0.2857142857142857,0.14285714285714285
DE,2012,239,0.29707112970711297,0.14644351464435146
DE,2013,194,0.35051546391752575,0.15463917525773196
DE,2014,341,0.30791788856304986,0.19941348973607037
DE,2015,519,0.3468208092485549,0.2254335260115607
DE,2016,426,0.22535211267605634,0.13145539906103287
DE,2017,390,0.28205128205128205,0.14871794871794872
DE,2018,669,0.312406576980568,0.2600896860986547
DE,2019,671,0.3740685543964232,0.19970193740685543
DE,2020,707,0.38472418670438474,0.1782178217821782
DE,2021,911,0.3205268935236004,0.12843029637760703
DE,2022,1115,0.3847533632286996,0.17757847533632287
DE,2023,1314,0.3698630136986301,0.1719939117199391
DE,2024,1084,0.3413284132841328,0.13745387453874539
DE,2025,745,0.2859060402684564,0.13288590604026845
DK,2005,1,0,0
DK,2006,10,0.3,0.3
DK,2007,13,0.23076923076923078,0.07692307692307693
DK,2008,23,0.391304347826087,0
DK,2009,9,0.5555555555555556,0.1111111111111111
DK,2011,4,0.75,0.75
DK,2013,14,0.21428571428571427,0.21428571428571427
DK,2014,45,0.13333333333333333,0.13333333333333333
DK,2015,28,0.10714285714285714,0.10714285714285714
DK,2016,36,0.3888888888888889,0.05555555555555555
DK,2017,7,0.42857142857142855,0
DK,2018,60,0.26666666666666666,0.016666666666666666
DK,2019,55,0.09090909090909091,0.03636363636363636
DK,2020,219,0.3150684931506849,0.0547945205479452
DK,2021,265,0.35094339622641507,0.0830188679245283
DK,2022,132,0.25757575757575757,0.07575757575757576
DK,2023,106,0.3018867924528302,0.07547169811320754
DK,2024,289,0.3806228373702422,0.058823529411764705
DK,2025,24,0.125,0.08333333333333333
DZ,2012,6,0,0
DZ,2017,25,0.12,0
DZ,2019,2,0,0
DZ,2020,9,0.7777777777777778,0
DZ,2022,44,0.022727272727272728,0.022727272727272728
DZ,2023,7,0.2857142857142857,0.2857142857142857
DZ,2025,49,0.24489795918367346,0.20408163265306123
EC,2018,72,0.625,0.041666666666666664
EC,2019,31,0.4838709677419355,0
EC,2021,39,0.28205128205128205,0.02564102564102564
EC,2023,14,0,0
EE,2013,13,0.38461538461538464,0
EE,2016,18,0.6111111111111112,0.05555555555555555
EE,2018,1,0,0
EE,2019,1,1,1
EE,2020,9,0.5555555555555556,0.5555555555555556
EE,2021,55,0.16363636363636364,0.16363636363636364
EE,2022,11,0.2727272727272727,0
EE,2023,32,0.21875,0.09375
EE,2024,23,0.17391304347826086,0.17391304347826086
EE,2025,1,0,0
EG,2009,23,0.043478260869565216,0.043478260869565216
EG,2020,122,0.09016393442622951,0.00819672131147541
EG,2023,20,0.05,0.05
EG,2024,24,0,0
EG,2025,25,0.2,0
ES,2000,18,0.2222222222222222,0.1111111111111111
ES,2001,37,0.05405405405405406,0.05405405405405406
ES,2002,7,0.14285714285714285,0
ES,2004,24,0.08333333333333333,0.08333333333333333
ES,2005,31,0.16129032258064516,0.16129032258064516
ES,2006,12,0.16666666666666666,0.16666666666666666
ES,2007,2,1,0
ES,2008,36,0.3611111111111111,0.05555555555555555
ES,2009,3,0,0
ES,2010,1,0,0
ES,2011,51,0.45098039215686275,0
ES,2012,43,0.3023255813953488,0.18604651162790697
ES,2013,72,0.2916666666666667,0.08333333333333333
ES,2014,65,0.23076923076923078,0.23076923076923078
ES,2015,77,0.37662337662337664,0.2597402597402597
ES,2016,133,0.43609022556390975,0.2932330827067669
ES,2017,301,0.2558139534883721,0.18272425249169436
ES,2018,233,0.19742489270386265,0.13304721030042918
ES,2019,384,0.22135416666666666,0.10677083333333333
ES,2020,478,0.19456066945606695,0.1087866108786611
ES,2021,532,0.25375939849624063,0.15789473684210525
ES,2022,325,0.46153846153846156,0.14153846153846153
ES,2023,411,0.36009732360097324,0.13138686131386862
ES,2024,463,0.32397408207343414,0.1079913606911447
ES,2025,635,0.2929133858267717,0.13543307086614173
