author_id,n_citations_total,n_works,n_countries_cited,shannon_entropy,hhi,top_country,top_country_share,self_cite_rate,author_name,author_countries,max_entropy,entropy_norm
https://openalex.org/A5004559117,232,8,29,2.71139897238423,0.0978745541022592,US,0.17672413793103448,0.36879432624113473,Valentina Bartalesi,IT,3.367295829986474,0.8052155525625799
https://openalex.org/A5042548732,88,5,27,2.709769532805303,0.10201446280991736,US,0.19318181818181818,0.328125,Matti La Mela,FI;SE,3.295836866004329,0.8221795079592218
https://openalex.org/A5014143084,208,5,29,2.70768309193451,0.09911242603550295,GB,0.1875,0.45038167938931295,Enrico Daga,GB,3.367295829986474,0.8041120319224778
https://openalex.org/A5029129300,113,5,28,2.7070907637162827,0.10580311692379983,GB,0.20353982300884957,0.3333333333333333,Fabio Vitali,IT,3.332204510175204,0.8124023466896835
https://openalex.org/A5021451115,60,5,22,2.706743226594451,0.095,US,0.2,0.11904761904761904,Erik Champion,AU,3.091042453358316,0.8756732615088038
https://openalex.org/A5029982012,57,3,22,2.7045005337794783,0.10126192674669128,US,0.24561403508771928,0.25,Janneke M. van der Zwaan,NL,3.091042453358316,0.8749477157264945
https://openalex.org/A5069545386,165,8,28,2.7034650199282164,0.09685950413223139,IT,0.15757575757575756,0.44761904761904764,Carlo Meghini,IT,3.332204510175204,0.8113142550743595
https://openalex.org/A5083923050,117,4,24,2.6996679596742545,0.09445540214770984,IT,0.17094017094017094,0.31746031746031744,Nicolò Pratelli,IT,3.1780538303479458,0.849472068060812
https://openalex.org/A5061671893,51,3,20,2.6981846249677925,0.08573625528642831,US,0.17647058823529413,0.14285714285714285,Carla Teixeira Lopes,PT,2.995732273553991,0.9006761548043136
https://openalex.org/A5100379682,99,3,28,2.6966562517695283,0.10927456382001838,US,0.24242424242424243,0.4142857142857143,Zeyu Wang,US,3.332204510175204,0.8092709326618555
https://openalex.org/A5039604862,88,4,24,2.6956762937169514,0.10278925619834711,GB,0.2159090909090909,0.3728813559322034,Daniil Skorinkin,RU,3.1780538303479458,0.8482160585120795
https://openalex.org/A5000158514,108,10,25,2.6956762935295493,0.1047668038408779,RS,0.24074074074074073,0.5238095238095238,Ranka Stanković,IT;RS,3.2188758248682006,0.8374589267170398
https://openalex.org/A5074951699,90,4,23,2.689534919243908,0.09358024691358025,IT,0.18888888888888888,0.12345679012345678,George Lepouras,GR,3.1354942159291497,0.8577706524159258
https://openalex.org/A5033602352,214,3,31,2.6846894749406323,0.10533671062974931,US,0.19626168224299065,0.4189189189189189,Antonio Lieto,IT,3.4339872044851463,0.7817994986801777
https://openalex.org/A5081287697,320,7,36,2.6839773393714705,0.1064453125,US,0.184375,0.4623115577889447,Marilena Daquino,IT,3.58351893845611,0.7489781372629806
https://openalex.org/A5007084743,176,3,30,2.6819732761802446,0.11079545454545456,IT,0.23863636363636365,0.3418803418803419,Bruno Sartini,IT,3.4011973816621555,0.7885379691988272
https://openalex.org/A5019559449,304,14,34,2.6800337568700527,0.10225502077562326,US,0.18092105263157895,0.3403141361256545,Francesca Tomasi,IT,3.5263605246161616,0.7599999314198794
https://openalex.org/A5079118565,201,11,31,2.676446349370246,0.10625974604588995,US,0.208955223880597,0.5238095238095238,Joris van Zundert,NL,3.4339872044851463,0.7793990454811617
https://openalex.org/A5044065181,62,5,20,2.675970908536271,0.09053069719042664,DE,0.1774193548387097,0.6470588235294118,Karlheinz Mörth,AT,2.995732273553991,0.893261034091551
https://openalex.org/A5110283930,76,3,26,2.674554471839036,0.11945983379501385,US,0.2894736842105263,0.1111111111111111,Mohammad Hadi Sadreddini,IR,3.258096538021482,0.8208947895273818
https://openalex.org/A5004193068,294,6,36,2.6727215909026043,0.1183534638345134,US,0.21768707482993196,0.24890829694323144,Akrivi Katifori,GR,3.58351893845611,0.7458371608478495
https://openalex.org/A5084870386,294,6,36,2.6727215909026043,0.1183534638345134,US,0.21768707482993196,0.24890829694323144,Yannis Ioannidis,GR,3.58351893845611,0.7458371608478495
https://openalex.org/A5066740670,452,9,37,2.671787459897238,0.13038413344819483,US,0.31194690265486724,0.3482142857142857,Ruggero Pintus,US,3.6109179126442243,0.7399191907801431
https://openalex.org/A5055598777,265,7,37,2.671260688819292,0.12532573869704522,US,0.27547169811320754,0.19387755102040816,Heshaam Faili,IR,3.6109179126442243,0.7397733079075081
https://openalex.org/A5030902070,145,4,29,2.6706172685237726,0.1180975029726516,GB,0.23448275862068965,0.375,Inna Kizhner,RU,3.367295829986474,0.7931044385056302
https://openalex.org/A5079764764,90,3,23,2.670046822686444,0.10148148148148149,US,0.2,0.3090909090909091,Myrsini Samaroudi,GB,3.1354942159291497,0.851555333485194
https://openalex.org/A5022034150,163,3,30,2.6692062786877324,0.10911212315104069,US,0.22085889570552147,0.22764227642276422,Eugene Ch’ng,CN,3.4011973816621555,0.7847842918729107
https://openalex.org/A5031461768,171,4,31,2.6685353733183352,0.11090591977018568,US,0.22807017543859648,0.3103448275862069,Silvio Peroni,IT,3.4339872044851463,0.7770953164394291
https://openalex.org/A5013230390,218,4,29,2.668051253419013,0.11366888309064895,US,0.24311926605504589,0.34782608695652173,Christofer Meinecke,DE,3.367295829986474,0.7923423982114842
