id,publication_year,type,countries_str,n_countries
https://openalex.org/W1992884364,2006,article,GB;US,2
https://openalex.org/W2155308025,2004,article,FI;US,2
https://openalex.org/W2164737356,2003,article,US,1
https://openalex.org/W2048030917,2007,article,US,1
https://openalex.org/W2029316333,2010,article,NA,0
https://openalex.org/W2075171193,2011,article,US,1
https://openalex.org/W2086963614,2012,article,US,1
https://openalex.org/W1524618434,1994,book,NA,0
https://openalex.org/W2117752003,2000,article,US,1
https://openalex.org/W1995228463,2006,article,GB,1
https://openalex.org/W2062825040,2009,article,US,1
https://openalex.org/W2478509217,2012,book-chapter,US,1
https://openalex.org/W2059473137,2007,article,US,1
https://openalex.org/W2046286207,2009,article,GB;US,2
https://openalex.org/W2010640343,2007,article,CA;US,2
https://openalex.org/W2893069017,2011,article,NA,0
https://openalex.org/W2077453153,2004,article,EE;EG,2
https://openalex.org/W2610410844,2007,article,NA,0
https://openalex.org/W1605238053,2007,preprint,GB,1
https://openalex.org/W2091722893,2005,article,NA,0
https://openalex.org/W1520731960,2007,article,NA,0
https://openalex.org/W1537339053,2009,preprint,NA,0
https://openalex.org/W2142225512,2005,article,TW;US,2
https://openalex.org/W2042349004,1987,book,NA,0
https://openalex.org/W2171380100,2003,article,US,1
https://openalex.org/W1987172718,2009,article,GB,1
https://openalex.org/W2046766973,2007,article,US,1
https://openalex.org/W2088771188,2013,article,US,1
https://openalex.org/W2128105693,2011,article,GB,1
https://openalex.org/W2111502807,2013,article,US,1
https://openalex.org/W2016265007,2005,article,FR,1
https://openalex.org/W3085621369,2007,article,US,1
https://openalex.org/W2087685293,2006,article,US,1
https://openalex.org/W2087314535,2005,article,US,1
https://openalex.org/W2117772101,2012,article,NA,0
https://openalex.org/W1988642806,2004,article,DE;DK,2
https://openalex.org/W157836768,2006,book,NA,0
https://openalex.org/W2034093528,2008,article,GB,1
https://openalex.org/W133969031,2013,book-chapter,CH;DE,2
https://openalex.org/W2072098164,2013,article,NA,0
https://openalex.org/W2496451395,2006,book,NA,0
https://openalex.org/W2528931751,2005,book-chapter,NA,0
https://openalex.org/W2164819359,2008,article,NA,0
https://openalex.org/W1543225912,2013,book-chapter,US,1
https://openalex.org/W2124651310,2010,article,IT;US,2
https://openalex.org/W2022491554,2008,article,NA,0
https://openalex.org/W3123560306,2008,article,US,1
https://openalex.org/W1974969414,2006,article,US,1
https://openalex.org/W2681182880,2010,article,NA,0
