citing_country,citing_year,n_citations,scr_any,scr_majority,expected_scr,excess_scr_any
GB,2019,1451,0.37422467263955894,0.17987594762232942,0.11530349046508608,0.25892118217447285
GB,2020,2045,0.35403422982885085,0.18581907090464547,0.11530349046508608,0.23873073936376477
GB,2021,2269,0.3966505068312032,0.22124283825473778,0.11530349046508608,0.2813470163661171
GB,2022,2446,0.35363859362224037,0.12959934587080948,0.11530349046508608,0.23833510315715428
GB,2023,2530,0.3616600790513834,0.1399209486166008,0.11530349046508608,0.24635658858629733
GB,2024,2758,0.3875997099347353,0.1551849166062364,0.11530349046508608,0.2722962194696492
GB,2025,2560,0.35,0.137890625,0.11530349046508608,0.2346965095349139
IN,2007,22,0,0,0.014276082613240634,-0.014276082613240634
IN,2008,37,0.05405405405405406,0,0.014276082613240634,0.03977797144081342
IN,2009,43,0.046511627906976744,0.046511627906976744,0.014276082613240634,0.03223554529373611
IN,2010,41,0.4878048780487805,0.17073170731707318,0.014276082613240634,0.47352879543553983
IN,2011,58,0.29310344827586204,0.13793103448275862,0.014276082613240634,0.2788273656626214
IN,2012,47,0.14893617021276595,0.06382978723404255,0.014276082613240634,0.1346600875995253
IN,2013,220,0.07727272727272727,0.07727272727272727,0.014276082613240634,0.06299664465948664
IN,2014,226,0.11504424778761062,0.07964601769911504,0.014276082613240634,0.10076816517436998
IN,2015,130,0.14615384615384616,0.03076923076923077,0.014276082613240634,0.13187776354060554
IN,2016,191,0.2670157068062827,0.13612565445026178,0.014276082613240634,0.2527396241930421
IN,2017,102,0.23529411764705882,0.0784313725490196,0.014276082613240634,0.22101803503381817
IN,2018,217,0.22580645161290322,0.07373271889400922,0.014276082613240634,0.2115303689996626
IN,2019,74,0.1891891891891892,0.1891891891891892,0.014276082613240634,0.17491310657594855
IN,2020,492,0.2845528455284553,0.07926829268292683,0.014276082613240634,0.27027676291521463
IN,2021,361,0.10249307479224377,0.09418282548476455,0.014276082613240634,0.08821699217900314
IN,2022,563,0.19005328596802842,0.056838365896980464,0.014276082613240634,0.1757772033547878
IN,2023,793,0.18915510718789408,0.12484237074401008,0.014276082613240634,0.17487902457465343
IN,2024,723,0.2544951590594744,0.1396957123098202,0.014276082613240634,0.24021907644623375
IN,2025,1349,0.1994069681245367,0.12008895478131949,0.014276082613240634,0.18513088551129608
IT,2007,216,0.36574074074074076,0.18055555555555555,0.040935491652697796,0.324805249088043
IT,2008,93,0.3010752688172043,0.16129032258064516,0.040935491652697796,0.26013977716450654
IT,2009,182,0.29120879120879123,0.08791208791208792,0.040935491652697796,0.25027329955609345
IT,2010,240,0.32916666666666666,0.125,0.040935491652697796,0.2882311750139689
IT,2011,258,0.437984496124031,0.08139534883720931,0.040935491652697796,0.39704900447133323
IT,2012,525,0.26095238095238094,0.18285714285714286,0.040935491652697796,0.22001688929968313
IT,2013,232,0.3103448275862069,0.14655172413793102,0.040935491652697796,0.26940933593350913
IT,2014,596,0.2516778523489933,0.19630872483221476,0.040935491652697796,0.2107423606962955
IT,2015,571,0.30823117338003503,0.15236427320490367,0.040935491652697796,0.26729568172733725
IT,2016,752,0.2473404255319149,0.14893617021276595,0.040935491652697796,0.2064049338792171
IT,2017,951,0.35751840168243953,0.1619348054679285,0.040935491652697796,0.31658291002974176
IT,2018,877,0.29304446978335236,0.15507411630558723,0.040935491652697796,0.2521089781306546
IT,2019,541,0.3290203327171904,0.19963031423290203,0.040935491652697796,0.2880848410644926
IT,2020,750,0.252,0.132,0.040935491652697796,0.2110645083473022
IT,2021,1196,0.3085284280936455,0.14130434782608695,0.040935491652697796,0.2675929364409477
IT,2022,2118,0.3210576015108593,0.14353163361661944,0.040935491652697796,0.28012210985816155
IT,2023,2314,0.23509075194468454,0.14088159031979255,0.040935491652697796,0.19415526029198674
IT,2024,2363,0.3406686415573424,0.15742699957680914,0.040935491652697796,0.2997331499046446
IT,2025,3285,0.24079147640791476,0.11354642313546423,0.040935491652697796,0.19985598475521696
JP,2007,130,0.5461538461538461,0.36153846153846153,0.017535829379782146,0.528618016774064
JP,2008,77,0.37662337662337664,0.2987012987012987,0.017535829379782146,0.3590875472435945
JP,2009,249,0.40160642570281124,0.15261044176706828,0.017535829379782146,0.3840705963230291
JP,2010,163,0.3312883435582822,0.17791411042944785,0.017535829379782146,0.31375251417850003
JP,2011,2,0,0,0.017535829379782146,-0.017535829379782146
JP,2012,114,0.15789473684210525,0.15789473684210525,0.017535829379782146,0.1403589074623231
